date,symbol,close,currency
2026-06-03,159941,1.707,CNY
2026-06-04,159941,1.673,CNY
2026-06-05,159941,1.641,CNY
2026-06-08,159941,1.569,CNY
2026-06-09,159941,1.632,CNY
2026-06-10,159941,1.585,CNY
2026-06-01,159509,2.809,CNY
2026-06-02,159509,2.845,CNY
2026-06-03,159509,2.87,CNY
2026-06-04,159509,2.813,CNY
2026-06-05,159509,2.714,CNY
2026-06-08,159509,2.631,CNY
2026-06-09,159509,2.721,CNY
2026-06-10,159509,2.617,CNY
2026-06-01,000858,83.41,CNY
2026-06-02,000858,82.71,CNY
2026-06-03,000858,82.35,CNY
2026-06-04,000858,81.1,CNY
2026-06-05,000858,81.08,CNY
2026-06-08,000858,79.96,CNY
2026-06-09,000858,79.11,CNY
2026-06-10,000858,79.14,CNY
2026-06-01,601318,53.85,CNY
2026-06-02,601318,54.08,CNY
2026-06-03,601318,53.7,CNY
2026-06-04,601318,53.23,CNY
2026-06-05,601318,53.48,CNY
2026-06-08,601318,53.38,CNY
2026-06-09,601318,53.93,CNY
2026-06-10,601318,53.22,CNY
2026-06-01,511090,117.087,CNY
2026-06-02,511090,117.234,CNY
2026-06-03,511090,116.978,CNY
2026-06-04,511090,117.039,CNY
2026-06-05,511090,116.867,CNY
2026-06-08,511090,116.588,CNY
2026-06-09,511090,116.315,CNY
2026-06-10,511090,116.043,CNY
2026-06-01,511260,136.091,CNY
2026-06-02,511260,136.14,CNY
2026-06-03,511260,136.078,CNY
2026-06-04,511260,136.133,CNY
2026-06-05,511260,136.071,CNY
2026-06-08,511260,135.899,CNY
2026-06-09,511260,135.75,CNY
2026-06-10,511260,135.653,CNY
